Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Hotel_Link
Crowne Plaza Kochi,4.6,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,8854.0,https://www.ihg.com/crowneplaza/hotels/us/en/kochi/cokch/hoteldetail
Trident Hotel Cochin,4.5,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6441.0,https://www.tridenthotels.com/hotels-in-cochin
The Galaxy Suites,3.8,kochi,Apartment,Breakfast,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator,No fireplace,831.0,https://www.agoda.com/search?text=The%20Galaxy%20Suites%20kochi%20India
The Renai cochin,4.2,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,2768.0,https://www.renaicochin.in/luxury-hotel/
Ramada by Wyndham Kochi,4.5,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8938.0,https://www.ramadakochi.com/
The Renai cochin,4.2,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,2768.0,https://www.renaicochin.in/luxury-hotel/
"Radisson Blu Hotel, Kochi",4.3,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6061.0,https://www.radissonhotels.com/en-us/hotels/radisson-blu-kochi
"Holiday Inn Cochin, an IHG Hotel",4.4,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5689.0,https://www.agoda.com/search?text=Holiday%20Inn%20Cochin%2C%20an%20IHG%20Hotel%20kochi%20India
OAK FIELD INN,3.8,kochi,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,Kid-friendly,Kitchen,819.0,https://www.agoda.com/search?text=OAK%20FIELD%20INN%20kochi%20India
Grand Hyatt Kochi Bolgatty,4.7,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,14282.0,https://www.hyatt.com/en-US/hotel/india/grand-hyatt-kochi-bolgatty/cokgh
Hotel South Gate Residency,3.9,kochi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,1051.0,https://www.agoda.com/search?text=Hotel%20South%20Gate%20Residency%20kochi%20India
Cherai Beach Resorts,3.9,kochi,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access,3281.0,https://www.cheraibeachresorts.com/
North Centre Hotel,4.7,kochi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Airport shuttle,Full-service laundry,Kid-friendly,Smoke-free,1118.0,https://northcentrehotelkochi.com/
Boche Island - Kumbalangi,4.1,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Spa,Restaurant,5855.0,https://www.agoda.com/search?text=Boche%20Island%20-%20Kumbalangi%20kochi%20India
Trident Hotel Cochin,4.5,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,5406.0,https://www.tridenthotels.com/hotels-in-cochin
"Nihara Resort & Spa, Kadamakudy Island, Kochi",4.3,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4692.0,https://nihararesort.com/
Ayurjani Ayurvedics,4.2,kochi,Free Wi-Fi,Free breakfast,Air conditioning,Fireplace,Paid parking,No crib,No elevator,No fitness center,No ironing board,896.0,https://www.agoda.com/search?text=Ayurjani%20Ayurvedics%20kochi%20India
Niko Hotels,4.6,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,2073.0,https://www.niko-inn.com/
Crowne Plaza Kochi,4.6,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,8776.0,https://www.ihg.com/crowneplaza/hotels/us/en/kochi/cokch/hoteldetail
The Gateway Hotel Marine Drive Ernakulam,4.3,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7252.0,https://www.tajhotels.com/
Napier Heritage Fort Kochi,4.5,kochi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3808.0,https://www.agoda.com/search?text=Napier%20Heritage%20Fort%20Kochi%20kochi%20India
"Radisson Blu Hotel, Kochi",4.3,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6039.0,https://www.radissonhotels.com/en-us/hotels/radisson-blu-kochi
Maurya Rajadhani,4.0,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,2812.0,https://www.rajadhanihotels.com/hotels-kerala-trivandrum/Maurya-Rajadhani
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",3.8,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2898.0,https://www.biverah.com/
Montecello Home Stay,3.2,trivandrum,Free Wi-Fi,Paid parking,Pet-friendly,Beach access,Kitchen,Full-service laundry,Kid-friendly,Fitness center,Business center,643.0,https://www.agoda.com/search?text=Montecello%20Home%20Stay%20trivandrum%20India
HOTEL HIGHLAND,4.0,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1350.0,https://www.agoda.com/search?text=HOTEL%20HIGHLAND%20trivandrum%20India
Ariya Nivaas - A Vegetarian Hotel,4.2,trivandrum,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2401.0,https://www.agoda.com/search?text=Ariya%20Nivaas%20-%20A%20Vegetarian%20Hotel%20trivandrum%20India
PLANET RESIDENCY,4.5,trivandrum,Free Wi-Fi,Paid parking,Air conditioning,Breakfast,Kitchen,Hot tub,Air conditioning,Accessible,Full-service laundry,1263.0,https://www.agoda.com/search?text=PLANET%20RESIDENCY%20trivandrum%20India
Saras Park Inn,3.4,trivandrum,2-star hotel,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,Kitchen,Full-service laundry,Spa,Spa,875.0,https://www.agoda.com/search?text=Saras%20Park%20Inn%20trivandrum%20India
Stayzone Royal INN,3.7,trivandrum,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,909.0,https://www.agoda.com/search?text=Stayzone%20Royal%20INN%20trivandrum%20India
Hotel Prathiba Heritage,3.7,trivandrum,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,Smoke-free,Kitchen,Room service,956.0,https://www.prathibaheritage.com/
Adara Residency,4.3,trivandrum,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pet-friendly,Restaurant,Kid-friendly,Kitchen,Kid-friendly,1616.0,https://adararesidency.in/
Hotel Venkateswara,3.7,trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1347.0,https://www.agoda.com/search?text=Hotel%20Venkateswara%20trivandrum%20India
Hilton Garden Inn Trivandrum,4.3,trivandrum,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6837.0,https://www.hilton.com/en/hotels/trvgigi-hilton-garden-inn-trivandrum/
KTDC Grand Chaithram,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2509.0,https://www.agoda.com/search?text=KTDC%20Grand%20Chaithram%20trivandrum%20India
Majestic Lodge,4.1,trivandrum,Free breakfast,Free Wi-Fi,Paid parking,Kitchen,Air conditioning,Free Wi-Fi,Kitchen,Restaurant,Spa,1236.0,https://www.agoda.com/search?text=Majestic%20Lodge%20trivandrum%20India
Safire Residency,4.0,trivandrum,3-star hotel,Wi-Fi,Air conditioning,Pet-friendly,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,Full-service laundry,1165.0,https://www.agoda.com/search?text=Safire%20Residency%20trivandrum%20India
Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,3.7,trivandrum,Breakfast,Free Wi-Fi,Free parking,Kitchen,Airport shuttle,Full-service laundry,Fitness center,Kitchen,Restaurant,1120.0,https://www.agoda.com/search?text=Hotel%20Sunday%20-%20Townhouse%20Club%20-%20Near%20Airport%20-%20Trivandrum%20trivandrum%20India
